Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Mass Effect 3: Rebellion,61.0,65.0,2.0,2.75,65.0,512.0,395.0,10.55,1.0,2.5,6.3,132,132,1.0,1.0,9
Starena,30.5,55.0,2.0,2.8,55.0,768.0,899.0,11.05,3.0,6.0,21.6,132,1064,2.0,2.0,11
Epigenesis,35.0,65.0,2.0,2.215,65.0,512.0,625.0,11.05,8.5,17.0,40.0,132,132,1.0,2.0,9
Star Wars Jedi: Survivor,0.0,27.0,4.0,3.5,14.0,1024.0,1187.5,11.1,15.0,30.0,76.0,764,764,55.0,55.0,11
Train Giant A-Train 9,35.0,90.0,1.5,2.215,65.0,896.0,600.0,10.05,6.5,17.5,23.2,132,132,1.2,1.2,9
Dandara: Trials of Fear Edition,32.5,122.5,1.0,3.2,33.5,512.0,816.5,10.55,6.5,12.0,37.35,164,1064,1.0,1.0,9
Stone Rage,50.0,32.0,5.0,3.4,14.0,1024.0,1375.0,11.15,16.5,45.5,88.0,1064,1064,8.0,8.0,11
Mr. Prepper,33.5,45.0,2.0,3.35,17.0,512.0,849.0,11.05,4.0,5.5,20.0,164,1064,5.0,5.0,9
Clutch,0.0,130.0,1.0,2.5835,110.0,64.0,100.0,9.0,0.0,0.0,1.6,132,132,2.0,2.0,9
Crusader Kings II: Sword of Islam,30.0,110.0,1.0,2.3665000000000003,65.0,384.0,950.0,9.5,5.0,8.0,60.8,132,132,1.0,1.0,9
NekoPara Vol. 1,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,232,232,0.0,0.0,9
